sift_sift:[nan, nan, nan, nan, nan]
sift_surf:[nan, nan, nan, nan, nan]
sift_brisk:[nan, nan, nan, nan, nan]
sift_freak:[nan, nan, nan, nan, nan]
surf_sift:[nan, nan, nan, nan, nan]
surf_surf:[nan, nan, nan, nan, nan]
surf_ORB:[nan, nan, nan, nan, nan]
surf_brisk:[nan, nan, nan, nan, nan]
surf_freak:[nan, nan, nan, nan, nan]
ORB_sift:[nan, nan, nan, nan, nan]
ORB_surf:[nan, nan, nan, nan, nan]
ORB_ORB:[nan, nan, nan, nan, nan]
ORB_brisk:[nan, nan, nan, nan, nan]
ORB_freak:[nan, nan, nan, nan, nan]
fast_sift:[nan, nan, nan, nan, nan]
fast_surf:[nan, nan, nan, nan, nan]
fast_ORB:[nan, nan, nan, nan, nan]
fast_brisk:[nan, nan, nan, nan, nan]
fast_freak:[nan, nan, nan, nan, nan]
brisk_sift:[nan, nan, nan, nan, nan]
brisk_surf:[nan, nan, nan, nan, nan]
brisk_ORB:[nan, nan, nan, nan, nan]
brisk_brisk:[nan, nan, nan, nan, nan]
brisk_freak:[nan, nan, nan, nan, nan]
kaze_sift:[nan, nan, nan, nan, nan]
kaze_surf:[nan, nan, nan, nan, nan]
kaze_ORB:[nan, nan, nan, nan, nan]
kaze_brisk:[nan, nan, nan, nan, nan]
kaze_freak:[nan, nan, nan, nan, nan]
kaze_kaze:[nan, nan, nan, nan, nan]
