sift_sift|[0.5846187444222354, 0.5955492983600157, 0.6034532082579479, 0.5914258572956365, 0.5848537681622752]|[0.5799117274357422, 0.5875081221780227, 0.5900924128328991, 0.5743951837674586, 0.5761444315150799]|[0.589164562196862, 0.603315091796049, 0.6163106860471211, 0.6075876189091105, 0.5932076216810134]
sift_surf|[0.2514287735552659, 0.23924661309956483, 0.2532470388567638, 0.24430080691949504, 0.24206632517408747]|[0.330491576489293, 0.30862235313681274, 0.3263406221476258, 0.31063984746933826, 0.30978401942448835]|[0.1738521135335321, 0.17166950335957862, 0.18043350760916152, 0.17893376696378863, 0.17561202074179116]
sift_brisk|[0.5937272209900157, 0.5944415193034864, 0.5911548718665696, 0.5977790808179338, 0.5883543068012378]|[0.6355992355578536, 0.6282973839548464, 0.6317014977649955, 0.6287206835284659, 0.6266599795879062]|[0.552453378058862, 0.5598549525373501, 0.5508999483127356, 0.5661623885937186, 0.549775022066093]
sift_freak|[0.556822931462578, 0.5343659392900404, 0.5561115850116541, 0.547841567239372, 0.5373065458641573]|[0.560680710302515, 0.5470559584822239, 0.5720963939262961, 0.5581966211204545, 0.5477542656216015]|[0.5529512757203389, 0.5218572060863177, 0.5405739036191012, 0.5376694648402865, 0.527225412764868]
surf_sift|[0.5346863508032714, 0.5351209937699682, 0.5307510005431617, 0.5290033796878238, 0.5382933388748747]|[0.5612098080491776, 0.5732381050688995, 0.5656648443701964, 0.5521783631594006, 0.563568298413197]|[0.5086249746940525, 0.49753698892276943, 0.49620210978749013, 0.5061513925015645, 0.5129287518204604]
surf_surf|[0.4726068810685624, 0.4746142233836907, 0.4745716653875513, 0.4695374993729297, 0.47482406123986987]|[0.4923821976141719, 0.493874011425824, 0.4945753913530035, 0.49163315148996795, 0.4926006918299907]|[0.45357908507965944, 0.4558912935448223, 0.455119766345284, 0.4482064026924679, 0.45742167550427854]
surf_brisk|[0.5763213786639385, 0.56616899785573, 0.5660469582226716, 0.5735306510466192, 0.5716054846142271]|[0.5885910497534911, 0.5677801440527432, 0.5707182866786498, 0.5791279234171991, 0.5753711481432469]|[0.5645236180009054, 0.5645972853068948, 0.5614575828975004, 0.5680503948231613, 0.5680086266916808]
surf_freak|[0.5612676205465547, 0.546220563170402, 0.539215024276722, 0.5521200405476052, 0.5419947514748534]|[0.5544595591364084, 0.5345289230638327, 0.5244802251101102, 0.540208430204167, 0.5197761464403335]|[0.5677481463562135, 0.5574687272729284, 0.5536948961221111, 0.563660701087962, 0.563602535752411]
orb_orb|[0.4507942229497315, 0.44235626990569976, 0.45469561099307526, 0.4489520583431154, 0.4480438172756857]|[0.5284636725708228, 0.5220127731997475, 0.5307131117111642, 0.5343223326395439, 0.5361221605040486]|[0.3767308549181911, 0.36526933123404115, 0.3805853593969456, 0.3663555474714807, 0.3637268267830535]
fast_sift|[0.6035828158168317, 0.5991797665196523, 0.592355482460752, 0.5957377779479323, 0.599352331602029]|[0.7045769820194887, 0.7077345090930215, 0.692805814358711, 0.7018323799005035, 0.7009328511286267]|[0.49537478059969914, 0.48707232328024525, 0.48553330115135607, 0.48333271639966974, 0.4921284498795099]
fast_surf|[0.3092873610468469, 0.3034096385449145, 0.29934246963232447, 0.31094613806396226, 0.3052775964285846]|[0.39898892801356217, 0.39581859015501764, 0.3739983109427646, 0.3932797068462863, 0.4022851947929964]|[0.21262618974650624, 0.1999902586578627, 0.2162527048265622, 0.21685063088416337, 0.2022571303969576]
fast_brisk|[0.4506653515185154, 0.45780043343463495, 0.44538662327515266, 0.4483836306981159, 0.4453220972749969]|[0.5287491884817757, 0.5546421478335789, 0.5273025991418366, 0.5436794663456723, 0.5291004641746602]|[0.3623410113469591, 0.35204928131098806, 0.3558118366567047, 0.34351994006586456, 0.3542297459634582]
