sift_sift|[0.5725137178434734, 0.5737518472906598, 0.5754896141215268, 0.5737157635468163, 0.5717308634373451]|[0.5668273600668138, 0.5635700362015943, 0.5688753968253795, 0.5632750765803202, 0.5623817181843301]|[0.578007317729333, 0.5835885122410369, 0.5818796206618072, 0.5838025289211548, 0.5807630885122239]
sift_surf|[0.4889530240832005, 0.49152297482211865, 0.49274964422551465, 0.4908627873563241, 0.48682558839627865]|[0.4886552074630907, 0.4932217209690777, 0.494289947089933, 0.49258173210803785, 0.4907968532442121]|[0.48924074522462857, 0.4898818132902728, 0.4912615550174716, 0.48920211191820034, 0.4829889426957078]
sift_brisk|[0.5551247126436971, 0.5574694512862792, 0.5528365695128783, 0.5574199849480184, 0.5535787424740166]|[0.5660308688387483, 0.5676247563352677, 0.5619124199387188, 0.5690340434419229, 0.5639187273739757]|[0.5445882566585831, 0.5476583938660073, 0.5440683750336158, 0.5461996233521528, 0.5435892655367089]
sift_freak|[0.5681893609742912, 0.5656125478927395, 0.5662773809524007, 0.5679608648057085, 0.5690243568692012]|[0.5742591757170562, 0.571663868003326, 0.5719920356446506, 0.5713394736841956, 0.5762506265664021]|[0.5623253026634251, 0.5597663572773612, 0.5607564433682949, 0.564696785041686, 0.5620430454667604]
surf_sift|[0.7138576081007281, 0.715716078270404, 0.7136469759168179, 0.7153004789272167, 0.7155161740558442]|[0.7204262879420684, 0.7213104845446857, 0.7160514619882947, 0.7205966861598369, 0.7212532024505619]|[0.707511595372601, 0.7103113128867258, 0.7113239978477168, 0.7101838041431159, 0.7099736211998815]
surf_surf|[0.6355464217296287, 0.6373599001094832, 0.6349386288998501, 0.6341159414340616, 0.6368779625068557]|[0.6306334168755064, 0.6322916040100096, 0.6256510860484387, 0.6260167084377439, 0.6281215121136001]|[0.6402928840462596, 0.6422563895614618, 0.6439113397901409, 0.6419406241592543, 0.6453375840731677]
surf_brisk|[0.6022237753147404, 0.6067507047071903, 0.6039148672687661, 0.604762000547364, 0.6039861521620312]|[0.5993577276524522, 0.6007461849066972, 0.6036074352547905, 0.5994103035366074, 0.6011879560011019]|[0.6049926688189261, 0.6125516814635314, 0.6042118778584737, 0.6099322841000688, 0.6066894942157539]
surf_freak|[0.6320730158730299, 0.6328967501368528, 0.6348108579638925, 0.6335748289545853, 0.6330579775588574]|[0.621799777220817, 0.6249319131161106, 0.6268878585352152, 0.6251064327485261, 0.6231995962127412]|[0.6419980091471524, 0.6405915926822608, 0.6424652811406927, 0.6417561608824196, 0.6425821764864009]
orb_orb|[0.5788357096917159, 0.5762946071839418, 0.5786313804595842, 0.5779058254887234, 0.5750632303438996]|[0.5691321776663752, 0.5668128654970642, 0.5697667780562387, 0.5677346421609443, 0.5663201615148861]|[0.5885358381631511, 0.5857730231107884, 0.5874928735670486, 0.5880734412319717, 0.583803232505431]
fast_sift|[0.8560059523809375, 0.8566103311439363, 0.8571708812260386, 0.8559675834701577, 0.8582337985768896]|[0.8987576441102784, 0.8995203564466722, 0.9009075605680883, 0.898768017265385, 0.8996023252575895]|[0.8147034705407601, 0.8151548829701434, 0.8149168011837565, 0.8146180118375084, 0.8182675948345526]
fast_surf|[0.5244177476737852, 0.5288018541324626, 0.525835283251236, 0.5279627120963408, 0.5272112000547393]|[0.5446714285714146, 0.5489407685881241, 0.5459126566415907, 0.5466754942912698, 0.5466571707045271]|[0.504850632230284, 0.5093456147430622, 0.5064384987893356, 0.5098842615011995, 0.5084244148506757]
fast_brisk|[0.5612619047619181, 0.5572398125342183, 0.560342692939255, 0.5599784140667858, 0.5593954570333979]|[0.5829467697020221, 0.5795397382344636, 0.5810086048454358, 0.5799053327763762, 0.5795453912559059]|[0.5403121199892267, 0.5356958165186883, 0.5403773204196827, 0.5407269841269714, 0.5399285714285609]
