sift_sift|[0.5909424604431126, 0.5797393564202158, 0.5914122140434341, 0.5863601813557173, 0.578908284334622]|[0.6230693835226409, 0.6237146510353527, 0.6405574488759115, 0.6260678522272716, 0.6223608450708296]|[0.5533853334789752, 0.5313468735624302, 0.53338790174507, 0.5403492946486295, 0.5306546661704172]
sift_surf|[0.18387425610203947, 0.18885298177853121, 0.17900682991662992, 0.1829291748979647, 0.18010847059563723]|[0.2879345386495149, 0.29504744485283196, 0.2836789016972171, 0.2847954242972371, 0.28403872743461583]|[0.08283370714273222, 0.08639661780793763, 0.07547342050474096, 0.08389917317079333, 0.08190819194439301]
sift_brisk|[0.6390623868604919, 0.63847765066521, 0.6317000859552412, 0.630326776750842, 0.6381042123141604]|[0.6951279998865129, 0.6957341836579176, 0.6922874778884989, 0.6857818275649729, 0.6813990049781476]|[0.5593826651928195, 0.5587864738557747, 0.5466662690741784, 0.5520377352329557, 0.581956246661074]
sift_freak|[0.5593945856639255, 0.5483802960357378, 0.5521414628756102, 0.5520947808404392, 0.5545799737934868]|[0.6069394477600869, 0.5982879348843839, 0.6026649448559734, 0.6060621892060545, 0.6070813949811801]|[0.4988061653899995, 0.48612073725113036, 0.48743142618049234, 0.4822319441046343, 0.48794240712146025]
surf_sift|[0.5859581023148729, 0.576828584261987, 0.5868168872538939, 0.5848665243885319, 0.5822955371709498]|[0.6445733321295184, 0.6306249558022649, 0.6431673202618192, 0.6446420233084982, 0.6431489187906694]|[0.506732152318876, 0.5074136640921105, 0.511335244872579, 0.504185491442144, 0.5001715644974885]
surf_surf|[0.38307242771152644, 0.3716079908189838, 0.378351849862467, 0.3723871170847293, 0.3800547968928637]|[0.4826968341146541, 0.45398460485488684, 0.4748148353270588, 0.4692554342936759, 0.46838649488322054]|[0.29787824886056036, 0.30185318486994855, 0.2987674105146038, 0.2968714848650695, 0.31079097403709943]
surf_brisk|[0.5764019622890932, 0.5750502465690023, 0.5745960039882877, 0.5899216209681297, 0.584820666784581]|[0.6060085184001611, 0.6021530492040104, 0.6086674309424677, 0.6283464013594688, 0.6139387395202558]|[0.545724670988859, 0.5463700463000145, 0.538275122114214, 0.5476208794131813, 0.5544651236287037]
surf_freak|[0.5539638631680465, 0.5431835577178503, 0.5655383628173771, 0.5537524061590818, 0.5452185484336194]|[0.568075649768725, 0.5448857106033013, 0.5805938888326239, 0.5711590654391596, 0.554401597943715]|[0.5417703246042687, 0.5439076316952727, 0.5535425206328006, 0.539623903255197, 0.5385764410765139]
orb_orb|[0.550533176173712, 0.5392662009555838, 0.5452634980964052, 0.5420424254165103, 0.5355905414792004]|[0.6971382256169705, 0.6807797421152026, 0.6907900139846811, 0.6885446270455305, 0.6743688242176876]|[0.3573312953570662, 0.35236417068181514, 0.35663110548479404, 0.3536304542752721, 0.35163998561232707]
fast_sift|[0.6948367539667593, 0.6918145527420244, 0.6882688631545979, 0.6821612050889042, 0.6933778092543843]|[0.7773603506726232, 0.7743448813218756, 0.7682524610630265, 0.7689007912938328, 0.7789388913527007]|[0.5262946623589189, 0.5280792337424688, 0.5258490347677653, 0.5110769495458247, 0.5198977414401161]
fast_surf|[0.25337930460147184, 0.2514637559838836, 0.23993267754901126, 0.23741115183803443, 0.24236760018148013]|[0.44114403462274704, 0.4358531661947738, 0.4077817509995352, 0.42551843648136056, 0.4174241994100066]|[0.07190401787740677, 0.06492096368519139, 0.06618970747322953, 0.0673825528214889, 0.06504414689894154]
fast_brisk|[0.4462448958024777, 0.42710008004587935, 0.44265912295578014, 0.43246738763164716, 0.43447076247020566]|[0.5678475260794253, 0.5498860844306598, 0.5620447406095225, 0.5534838484034024, 0.553573207535887]|[0.24220664496612243, 0.21592701116424198, 0.23013706405153894, 0.22557966312493785, 0.24167915754065644]
