sift_sift|[0.5939893926981525, 0.5828340012724816, 0.5883305235590381, 0.5919695401558248, 0.5928889451282198]|[0.5688683298630514, 0.5620077626113629, 0.578987270938759, 0.5649693087187374, 0.5744152929697939]|[0.6182501451621913, 0.6030139083889429, 0.5973230056031292, 0.6181375726787547, 0.6106034061020535]
sift_surf|[0.2365969170158113, 0.23860311415116203, 0.23986479099368316, 0.23443504853020736, 0.2471102735044194]|[0.300670495570019, 0.3077490409368303, 0.30695643454100896, 0.29749566854128645, 0.32319523317412663]|[0.17394194167682536, 0.17075205490829637, 0.17569017542667587, 0.17417712274184305, 0.1738123086944084]
sift_brisk|[0.6046822733517435, 0.6052206416838911, 0.6016673955938365, 0.5989441523646281, 0.5864856215708046]|[0.6358767769466296, 0.6514449553265077, 0.6387039941823863, 0.6303904710044783, 0.6256532248632435]|[0.5728096283743603, 0.5596473747122966, 0.5647625998472402, 0.5678359661832708, 0.5475977868733105]
sift_freak|[0.5466738167105958, 0.5392969575487875, 0.5501266507748422, 0.5605135041826476, 0.5374814126658092]|[0.5647047061210907, 0.5564576813268115, 0.5559607804381029, 0.5657851685156896, 0.5494669468467371]|[0.528706640690244, 0.5224383591893906, 0.544333751709908, 0.555279494594843, 0.525495878484881]
surf_sift|[0.5390999741312683, 0.534874813078486, 0.53740918423541, 0.5312083441669784, 0.5313104623139507]|[0.5794560832564076, 0.5723784541877026, 0.5771377271928637, 0.5598142196287482, 0.5698920821776026]|[0.49931026653771, 0.49814979427603645, 0.498097374246042, 0.502901484825018, 0.4932628441093119]
surf_surf|[0.47355739018595344, 0.46496981396806025, 0.47442680732221487, 0.4583437247668272, 0.469095713619089]|[0.48004493460119485, 0.4762702288137213, 0.487117362663139, 0.48188907592898544, 0.49276072571700225]|[0.4671383761694635, 0.453981134704348, 0.46208999568417347, 0.4356074922013069, 0.44624114714096663]
surf_brisk|[0.5703208925343541, 0.5575109042826438, 0.5629030516237965, 0.5659948317177129, 0.5564353840444769]|[0.5772266704453984, 0.5604838224138321, 0.5586538579334273, 0.566105036432477, 0.5600600118164775]|[0.5635835482308964, 0.5546405005697731, 0.5669764166097383, 0.5658865536588, 0.5529357434370283]
surf_freak|[0.5328206297558399, 0.5510598839965085, 0.5411001007629884, 0.5440745567223412, 0.5418157580857008]|[0.5203628112797543, 0.5471085455515214, 0.5321594095796718, 0.5386998229746084, 0.5219463956929118]|[0.5448091468509794, 0.5547415065066859, 0.5498558121287194, 0.5492652242458362, 0.5611370001366197]
orb_orb|[0.4441629762934764, 0.43653445250321365, 0.4377368414338591, 0.4465237763893696, 0.4474612541029806]|[0.5135141220182273, 0.5260499993647068, 0.5029550439581011, 0.526218100887169, 0.5236182104918335]|[0.37850072129876666, 0.351160194286559, 0.37508078258021216, 0.37052954552896844, 0.37402418901373036]
fast_sift|[0.598992274602524, 0.5955355493260647, 0.606053352370516, 0.6057607919934845, 0.5958961593399027]|[0.7030059343127794, 0.705966700114746, 0.7077330917845214, 0.7156724133488109, 0.7043027672595016]|[0.4883807334927377, 0.47896933460467944, 0.4979237787399516, 0.4905766574366118, 0.48188921005176266]
fast_surf|[0.28788368357443217, 0.31108894245829555, 0.3215449779000322, 0.3064637632106924, 0.31870165348049484]|[0.3707093840563094, 0.3891349810516393, 0.41415707461816037, 0.3935402572621803, 0.3996730157362171]|[0.19250863453469472, 0.22015137070444418, 0.2223454098672261, 0.209253366834247, 0.2314749928530863]
fast_brisk|[0.45257138073940256, 0.4451358368550471, 0.44753195144297897, 0.45798301901838323, 0.4573043193753876]|[0.5339801336906245, 0.5315081115380668, 0.530350631840511, 0.5560928718835485, 0.542890572096591]|[0.3604421335723826, 0.3537419182951087, 0.3550288285796064, 0.35159884121278223, 0.36270898742037366]
fast_freak|[0.41745827552154346, 0.4113463151926032, 0.41040757682223344, 0.4257190940138808, 0.42869926796021635]|[0.49230973870988715, 0.4846722030271332, 0.47624438095260047, 0.49407510286620665, 0.517830788093619]|[0.33680437332635166, 0.3340872379723118, 0.3413288088521139, 0.35447110017165095, 0.3347498278196026]
brisk_sift|[0.468895743409301, 0.4645733977238768, 0.46946906092247814, 0.47532583798713646, 0.4709023104342595]|[0.5299033215924521, 0.5110216132701333, 0.5135471056106409, 0.5299645222651113, 0.5246292444596211]|[0.4099991540906186, 0.41877029628243057, 0.4263125084577614, 0.4227454603086738, 0.4193985598858098]
brisk_surf|[0.4917771864185632, 0.49623681385173535, 0.48870583103487364, 0.49177115794335946, 0.4908439315593285]|[0.5163547701302286, 0.5211479620120752, 0.5180749939535656, 0.5102663168017405, 0.5273932403071849]|[0.46839434635954774, 0.4723636301980776, 0.46066235949793033, 0.474299952516584, 0.45619823264208875]
brisk_brisk|[0.568438965913486, 0.5710779669159103, 0.5717966076891255, 0.5741908921149487, 0.5645108333865023]|[0.5940494205146302, 0.6099018887980072, 0.6025526790616026, 0.6103997522493123, 0.59414195960146]|[0.5446070151040905, 0.5341218625814067, 0.5425513608752968, 0.5398484680699855, 0.5365145279282326]
brisk_freak|[0.537502953961227, 0.5455129500238732, 0.5349729100636685, 0.5546478197225797, 0.5421033975489016]|[0.5458111281790721, 0.5427044546950858, 0.549688443828867, 0.5671410974182346, 0.5468377266617553]|[0.5297069274691388, 0.5481573751788136, 0.5212116259282951, 0.5429273220905741, 0.5376275983534737]
kaze_kaze|[0.5945853462988813, 0.5912878998999345, 0.5994659464954601, 0.5924189691163961, 0.5894467322667388]|[0.6266233729536912, 0.613001388986624, 0.6304889342315989, 0.6222422271518442, 0.6174709301303635]|[0.5633179938247711, 0.570241378054816, 0.5694024326068282, 0.5636205653089685, 0.5621982907453614]
