sift_sift|[0.5838045463517127, 0.5787950750988206, 0.5803711028331748, 0.5884276986586832, 0.5958421857816637]|[0.6423838593800364, 0.6249989185675661, 0.6274128362036155, 0.6340250712175627, 0.6250766952079232]|[0.5198856840707405, 0.5258213198819828, 0.5278298473671675, 0.5357088165311392, 0.5623397714169851]
sift_surf|[0.1842465811262119, 0.17640944034719935, 0.17957316548506005, 0.17826638844864318, 0.17738478486554232]|[0.2866356100781294, 0.28256440639639, 0.28758303972087784, 0.2855515748876558, 0.2804930715367139]|[0.08057043429975343, 0.0768431144915987, 0.0791229852167564, 0.0815274033991752, 0.07847915760472426]
sift_brisk|[0.6299670000009638, 0.6294976417923267, 0.6194051593289543, 0.6345466812545876, 0.6290728819064366]|[0.6848710293326374, 0.6793758274205259, 0.6710564152212436, 0.6864358487948674, 0.6826938210992834]|[0.5521143885698114, 0.5634545933343089, 0.5474291126934011, 0.5655771566150586, 0.5566919092495058]
sift_freak|[0.5630967166265209, 0.538081055481832, 0.5585928239802609, 0.5564951700193007, 0.5541502232697348]|[0.6113557012921028, 0.5859016616775731, 0.610609549840451, 0.5999353989827516, 0.5940575277372409]|[0.5019842752397093, 0.47734322731101814, 0.4921998976509359, 0.5006713197490424, 0.503879987609295]
surf_sift|[0.5826545969998556, 0.5971482031483597, 0.5951731307186967, 0.5909621862792336, 0.5910023898079831]|[0.6416247422165794, 0.650097876509373, 0.6540975954508851, 0.6448577247265608, 0.6438755329882477]|[0.5037433438350531, 0.5260025027015054, 0.5153889731994569, 0.518283978747271, 0.5213551955402789]
surf_surf|[0.3792890554806223, 0.3816771818533477, 0.38107687270028173, 0.38895421120723156, 0.38101579582749634]|[0.46444317598885554, 0.4807353422364725, 0.4727041516577678, 0.47644302111544357, 0.46030361426769484]|[0.30782328109204643, 0.3033242946179502, 0.30415256716447286, 0.31739752101140895, 0.3143720985733648]
surf_brisk|[0.5794044215638618, 0.5816801743183846, 0.5831081451106235, 0.5823706490483744, 0.5749008798809548]|[0.6133009374401828, 0.612529119836893, 0.6166758475345318, 0.6201939681707788, 0.6089308224180308]|[0.5421523295414021, 0.5499505679694477, 0.5468759120627315, 0.5445290651576679, 0.5385971955872045]
surf_freak|[0.5474945099210429, 0.5496524304346043, 0.5393671941283129, 0.5500074107743957, 0.5517329791300256]|[0.5591346024116405, 0.5691589077837732, 0.5460051779104946, 0.556191625580593, 0.5583602164997488]|[0.5389055653369534, 0.531377864433676, 0.5360048180339789, 0.5475107155642536, 0.5487931085319722]
orb_orb|[0.5470083203287046, 0.5448679311854814, 0.5496646171757003, 0.5421276066372775, 0.5444867165170426]|[0.6968056330069101, 0.6875957526244605, 0.696550526771808, 0.6877598101953185, 0.6850816068878672]|[0.35098404703537717, 0.3554946387259145, 0.3546894557842373, 0.35260693734177107, 0.3570134643838708]
fast_sift|[0.6916159518110065, 0.6945006026224216, 0.6878740428100847, 0.6947995502957258, 0.6927370699430373]|[0.7796624853192151, 0.77547145317018, 0.770047428510948, 0.7789937432364047, 0.7778757699076578]|[0.5189451777574617, 0.5318629451885514, 0.5258042048840699, 0.527050441636515, 0.5234266750382788]
