sift_sift|[0.5758058223864443, 0.5743474001094846, 0.5739017925561215, 0.5757987753147412, 0.5753588191023696]|[0.5648002923976442, 0.5673803954330121, 0.5650451267056364, 0.5642438457254089, 0.5688781397939129]|[0.5864382835619945, 0.5810782351358432, 0.5824582324454994, 0.5869620123755515, 0.5816198143664056]
sift_surf|[0.4916460249042245, 0.49066902709360394, 0.49013958675425234, 0.4907593596059174, 0.4922744458128184]|[0.49294370648842817, 0.49371374269004414, 0.4933330130882597, 0.4944236702868143, 0.4959734614313402]|[0.49039233252621395, 0.4877275221953036, 0.48705441216032686, 0.48721926284636546, 0.48870082055419284]
sift_brisk|[0.5568012588943827, 0.5535505062944893, 0.5553402230432593, 0.5538447728516864, 0.5583039408867165]|[0.5689218602060561, 0.5668101642996255, 0.5673121693121553, 0.5648476468950011, 0.5698567669172796]|[0.5450915254237142, 0.5407403282216718, 0.5437741054613805, 0.5432148775894396, 0.5471427360774666]
sift_freak|[0.5658947796935048, 0.5676709770115097, 0.5709478037767004, 0.5687338054187356, 0.5662178776683254]|[0.5728579504316219, 0.5727526455026303, 0.5765091757170557, 0.5746002645502504, 0.5722877192982324]|[0.5591676486413623, 0.5627615684691826, 0.565574952919005, 0.563066209308568, 0.5603537933817435]
surf_sift|[0.7148029693486668, 0.7173157361795359, 0.7156190407772403, 0.7146218732895487, 0.7147314586754344]|[0.7226606237816708, 0.7250840155945346, 0.7241536897799982, 0.7213242968532391, 0.7203767195767122]|[0.7072116760828518, 0.7098107882700995, 0.7073737019101322, 0.7081466505246061, 0.7092775625504334]
surf_surf|[0.6351436097427624, 0.633485721127546, 0.6334871579091547, 0.634692029282992, 0.6338893746579195]|[0.6255242550821388, 0.62681102756891, 0.6257484405457996, 0.6280949456975669, 0.6262401280980129]|[0.6444368845843286, 0.6399341538875306, 0.640963545870313, 0.6410654829163166, 0.6412793247242258]
surf_brisk|[0.6023212438423848, 0.604367891351964, 0.6046838875205454, 0.6050999521073, 0.6041548097975015]|[0.5983402116401998, 0.6008922445001269, 0.6012656780840863, 0.6021678223336008, 0.6011848510164193]|[0.6061673258003638, 0.6077257196663849, 0.6079862254506188, 0.6079326876513198, 0.6070240920096727]
surf_freak|[0.6341295429666278, 0.6315290024630721, 0.6345164477285318, 0.6360416119321463, 0.6340904967159455]|[0.6230343497632886, 0.6222666945140537, 0.6223697159565481, 0.6281763157894649, 0.6267865636312907]|[0.6448486279257346, 0.640477333871389, 0.6462514258810771, 0.6436402878665471, 0.6411468388485219]
orb_orb|[0.5781460437183271, 0.5811639213950344, 0.5782212950666006, 0.5771398779941288, 0.5791577083385667]|[0.5715633249791028, 0.570497424115833, 0.5689029239765953, 0.569547257031455, 0.5704870370370236]|[0.5847264535417698, 0.591826677356307, 0.5875363976994902, 0.5847298358136582, 0.5878253383663674]
fast_sift|[0.8567120073891454, 0.855127907772287, 0.8535126436781455, 0.854527606732334, 0.8557615968801158]|[0.9064660261765505, 0.9085439988860995, 0.9024715260373141, 0.9041995962127494, 0.9080217209690867]|[0.8086445655098177, 0.8035225316115117, 0.8062133844498229, 0.806539413505513, 0.8052730024213031]
